2025-12-28 16:44:45 | INFO | [a2dcb7af-0d21-42d3-8871-2ac218bd996e] | backend.llm.mock | [MOCK RESPONSE] Generating response for: analyst_agent
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:45:43 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered GuardAgent (from backend.agents.guard)
2025-12-28 16:45:43 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered AnalystAgent (from backend.agents.analyst)
2025-12-28 16:45:43 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered InteractionAnalystAgent (from backend.agents.interaction)
2025-12-28 16:45:43 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered ProfilerAgent (from backend.agents.profiler)
2025-12-28 16:45:43 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered LogicianAgent (from backend.agents.logician)
2025-12-28 16:45:43 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered LogicalFalsifierAgent (from backend.agents.critics)
2025-12-28 16:45:43 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered FactualOverseerAgent (from backend.agents.critics)
2025-12-28 16:45:44 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered CausalAnalystAgent (from backend.agents.critics)
2025-12-28 16:45:44 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered PerformativityDetectorAgent (from backend.agents.critics)
2025-12-28 16:45:44 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered ArchivistAgent (from backend.agents.archivist)
2025-12-28 16:45:44 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered JudgeAgent (from backend.agents.judge)
2025-12-28 16:45:44 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered CoachAgent (from backend.agents.coach)
2025-12-28 16:45:44 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered XAIReporterAgent (from backend.agents.xai)
2025-12-28 16:45:44 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered PanelAgent (from backend.agents.panel)
2025-12-28 16:45:44 | INFO | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Successfully loaded and registered 14 agents.
2025-12-28 16:45:44 | INFO | [SYSTEM] | backend.dependencies | [Dependencies] Initializing Singleton WorkflowEngine...
2025-12-28 16:45:45 | INFO | [SYSTEM] | backend.core.engine | [WorkflowEngine] initialized with DB at C:\Users\risto\OneDrive\quorum\backend\database\db_mock.json
2025-12-28 16:45:45 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Engine Ready.
2025-12-28 16:45:45 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Checking for interrupted jobs...
2025-12-28 16:45:45 | INFO | [SYSTEM] | backend.core.engine | [WorkflowEngine] Scanning for interrupted jobs...
2025-12-28 16:45:58 | DEBUG | [SYSTEM] | asyncio | Using proactor: IocpProactor
2025-12-28 16:46:02 | INFO | [SYSTEM] | root | Logging configured. Writing to: C:\Users\risto\OneDrive\quorum\backend_debug.log
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap |    Cognitive Quorum Backend v0.2.0
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap |    Startup Time: 2025-12-28 16:46:02
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Database Path: C:\Users\risto\OneDrive\quorum\backend\database\db_mock.json
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Model Strategy: Database Controlled
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.bootstrap | !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.bootstrap |    [INFO] OPERATING IN MOCK LLM MODE
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.bootstrap |    [INFO] No external API calls will be made.
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.bootstrap | !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Google Search: ENABLED (Key: ...6-Yc)
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Using Mock Models list.
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Warming up Engine Singleton...
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.dependencies | [Dependencies] Initializing Singleton DB Client...
2025-12-28 16:46:02 | INFO | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Loading agents via AgentFactory...
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:02 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered GuardAgent (from backend.agents.guard)
2025-12-28 16:46:02 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered AnalystAgent (from backend.agents.analyst)
2025-12-28 16:46:02 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered InteractionAnalystAgent (from backend.agents.interaction)
2025-12-28 16:46:02 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered ProfilerAgent (from backend.agents.profiler)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered LogicianAgent (from backend.agents.logician)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered LogicalFalsifierAgent (from backend.agents.critics)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered FactualOverseerAgent (from backend.agents.critics)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered CausalAnalystAgent (from backend.agents.critics)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered PerformativityDetectorAgent (from backend.agents.critics)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered ArchivistAgent (from backend.agents.archivist)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered JudgeAgent (from backend.agents.judge)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered CoachAgent (from backend.agents.coach)
2025-12-28 16:46:03 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered XAIReporterAgent (from backend.agents.xai)
2025-12-28 16:46:04 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered PanelAgent (from backend.agents.panel)
2025-12-28 16:46:04 | INFO | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Successfully loaded and registered 14 agents.
2025-12-28 16:46:04 | INFO | [SYSTEM] | backend.dependencies | [Dependencies] Initializing Singleton WorkflowEngine...
2025-12-28 16:46:04 | INFO | [SYSTEM] | backend.core.engine | [WorkflowEngine] initialized with DB at C:\Users\risto\OneDrive\quorum\backend\database\db_mock.json
2025-12-28 16:46:04 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Engine Ready.
2025-12-28 16:46:04 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Checking for interrupted jobs...
2025-12-28 16:46:04 | INFO | [SYSTEM] | backend.core.engine | [WorkflowEngine] Scanning for interrupted jobs...
2025-12-28 16:46:09 | DEBUG | [SYSTEM] | asyncio | Using proactor: IocpProactor
2025-12-28 16:46:13 | INFO | [SYSTEM] | root | Logging configured. Writing to: C:\Users\risto\OneDrive\quorum\backend_debug.log
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap |    Cognitive Quorum Backend v0.2.0
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap |    Startup Time: 2025-12-28 16:46:13
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Database Path: C:\Users\risto\OneDrive\quorum\backend\database\db_mock.json
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Model Strategy: Database Controlled
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.bootstrap | !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.bootstrap |    [INFO] OPERATING IN MOCK LLM MODE
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.bootstrap |    [INFO] No external API calls will be made.
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.bootstrap | !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap |    [CONFIG] Google Search: ENABLED (Key: ...6-Yc)
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap | ==================================================
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Using Mock Models list.
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Warming up Engine Singleton...
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.dependencies | [Dependencies] Initializing Singleton DB Client...
2025-12-28 16:46:13 | INFO | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Loading agents via AgentFactory...
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | WARNING | [SYSTEM] | backend.agents.base | [BaseAgent] Hardcoded 'gemini' detected in model init: gemini/gemini-3-flash-preview
2025-12-28 16:46:13 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered GuardAgent (from backend.agents.guard)
2025-12-28 16:46:13 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered AnalystAgent (from backend.agents.analyst)
2025-12-28 16:46:13 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered InteractionAnalystAgent (from backend.agents.interaction)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered ProfilerAgent (from backend.agents.profiler)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered LogicianAgent (from backend.agents.logician)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered LogicalFalsifierAgent (from backend.agents.critics)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered FactualOverseerAgent (from backend.agents.critics)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered CausalAnalystAgent (from backend.agents.critics)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered PerformativityDetectorAgent (from backend.agents.critics)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered ArchivistAgent (from backend.agents.archivist)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered JudgeAgent (from backend.agents.judge)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered CoachAgent (from backend.agents.coach)
2025-12-28 16:46:14 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered XAIReporterAgent (from backend.agents.xai)
2025-12-28 16:46:15 | DEBUG | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Registered PanelAgent (from backend.agents.panel)
2025-12-28 16:46:15 | INFO | [SYSTEM] | backend.services.agent_registry | [AgentRegistry] Successfully loaded and registered 14 agents.
2025-12-28 16:46:15 | INFO | [SYSTEM] | backend.dependencies | [Dependencies] Initializing Singleton WorkflowEngine...
2025-12-28 16:46:15 | INFO | [SYSTEM] | backend.core.engine | [WorkflowEngine] initialized with DB at C:\Users\risto\OneDrive\quorum\backend\database\db_mock.json
2025-12-28 16:46:15 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Engine Ready.
2025-12-28 16:46:15 | INFO | [SYSTEM] | backend.bootstrap |    [INFO] Checking for interrupted jobs...
2025-12-28 16:46:15 | INFO | [SYSTEM] | backend.core.engine | [WorkflowEngine] Scanning for interrupted jobs...
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_begin with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[36:55]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[57:86]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_headers_finished with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[90:122]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_begin with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[160:179]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[181:205]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_headers_finished with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[209:211]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_begin with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[249:268]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[270:341]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[343:355]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[357:372]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_headers_finished with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[376:261885]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[0:262144]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[0:262144]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[0:262144]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[0:262144]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[0:115320]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_begin with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[115358:115377]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[115379:115442]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[115444:115456]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[115458:115473]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_headers_finished with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[115477:195680]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_begin with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[195718:195737]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[195739:195814]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_field with data[195816:195828]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_value with data[195830:195845]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_header_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_headers_finished with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[195849:262144]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_data with data[0:27474]
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_part_end with no data
2025-12-28 16:46:17 | DEBUG | [SYSTEM] | python_multipart.multipart | Calling on_end with no data
2025-12-28 16:46:17 | INFO | [SYSTEM] | backend.services.document_service | [DocumentService] Evidence keskusteluhistoria SITRA.pdf processed. Extracted 41349 chars. Storage: backend\files\executions\3d7f5293-aa0c-4209-9511-189a3782d621\keskusteluhistoria SITRA.pdf
2025-12-28 16:46:17 | INFO | [SYSTEM] | backend.services.document_service | [DocumentService] Evidence lopputuote sitra.pdf processed. Extracted 4993 chars. Storage: backend\files\executions\3d7f5293-aa0c-4209-9511-189a3782d621\lopputuote sitra.pdf
2025-12-28 16:46:17 | INFO | [SYSTEM] | backend.services.document_service | [DocumentService] Evidence Reflektiodokumentti sitra.pdf processed. Extracted 1050 chars. Storage: backend\files\executions\3d7f5293-aa0c-4209-9511-189a3782d621\Reflektiodokumentti sitra.pdf
2025-12-28 16:46:18 | INFO | [SYSTEM] | backend.api.execution_router | [Router] Triggering execution 3d7f5293-aa0c-4209-9511-189a3782d621. Input sizes: {'history_file': 41349, 'product_file': 4993, 'reflection_file': 1050}
2025-12-28 16:46:18 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.core.engine | [WorkflowEngine] Starting execution 3d7f5293-aa0c-4209-9511-189a3782d621
2025-12-28 16:46:18 | DEBUG | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.core.runner | [PipelineRunner] State initialized with inputs: dict_keys(['history_file', 'product_file', 'reflection_file'])
2025-12-28 16:46:18 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.core.runner | [PipelineRunner] Running step: GuardAgent (Step ID: step_guard)
2025-12-28 16:46:18 | DEBUG | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.core.runner | [PipelineRunner] Configured GuardAgent with gemini/gemini-3-flash-preview (Provider: google)
2025-12-28 16:46:19 | DEBUG | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.services.prompt_builder | [PromptBuilder] Constructed PROMPT for step_guard (Length: 12 parts)
2025-12-28 16:46:19 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.agents.base | [GuardAgent] Starting execution...
2025-12-28 16:46:19 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.agents.base | [GuardAgent] Lifecycle Hook: prepare_context
2025-12-28 16:46:19 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.agents.guard | [GuardAgent] Executing Python-based Banned Phrases Scan (Pre-Hook)...
2025-12-28 16:46:19 | WARNING | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.agents.guard | [GuardAgent] No banned_phrases found in state.aux_data. Skipping scan.
2025-12-28 16:46:19 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.agents.guard | [GuardAgent] Running sanitize_input (Pre-Hook)...
2025-12-28 16:46:19 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.agents.base | [GuardAgent] >>> EXECUTION START <<<
2025-12-28 16:46:19 | INFO | [3d7f5293-aa0c-4209-9511-189a3782d621] | backend.agents.base | [GuardAgent] MODEL: gemini/gemini-3-flash-preview | TEMP: 0.7 | TOKENS: 16384
